iter	Passed	Remaining
0	6	651
1	11	560
2	15	512
3	19	477
4	21	412
5	23	366
6	25	332
7	26	308
8	28	288
9	30	271
10	31	258
11	33	248
12	35	238
13	37	229
14	39	222
15	40	214
16	42	207
17	44	201
18	46	196
19	48	192
20	49	186
21	50	180
22	52	175
23	53	170
24	55	165
25	56	161
26	58	157
27	59	153
28	61	149
29	63	147
30	64	143
31	65	139
32	67	136
33	68	133
34	70	130
35	71	127
36	72	124
37	74	121
38	76	119
39	77	116
40	79	113
41	79	110
42	81	107
43	82	105
44	83	102
45	85	100
46	86	97
47	88	95
48	89	93
49	91	91
50	92	89
51	94	86
52	95	84
53	96	82
54	97	80
55	99	77
56	100	75
57	102	73
58	103	71
59	105	70
60	106	68
61	108	66
62	109	64
63	110	62
64	112	60
65	113	58
66	115	56
67	116	54
68	117	52
69	119	51
70	120	49
71	122	47
72	123	45
73	125	43
74	126	42
75	128	40
76	129	38
77	130	36
78	132	35
79	133	33
80	135	31
81	136	30
82	138	28
83	139	26
84	140	24
85	142	23
86	143	21
87	145	19
88	146	18
89	147	16
90	149	14
91	151	13
92	152	11
93	154	9
94	155	8
95	156	6
96	158	4
97	159	3
98	160	1
99	162	0
