iter	Passed	Remaining
0	166	166815
1	171	85524
2	175	58414
3	183	45592
4	187	37308
5	192	31881
6	196	27840
7	198	24672
8	201	22175
9	204	20235
10	209	18832
11	211	17436
12	213	16245
13	216	15227
14	217	14298
15	220	13582
16	222	12857
17	223	12208
18	225	11628
19	226	11102
20	228	10633
21	229	10200
22	230	9806
23	232	9444
24	234	9139
25	236	8841
26	237	8554
27	239	8305
28	240	8057
29	241	7824
30	243	7609
31	244	7403
32	246	7210
33	247	7043
34	250	6896
35	251	6736
36	252	6582
37	254	6438
38	255	6302
39	257	6172
40	258	6047
41	260	5930
42	261	5818
43	264	5751
44	266	5648
45	267	5549
46	268	5453
47	270	5363
48	271	5277
49	273	5193
50	274	5111
51	276	5033
52	279	4992
53	280	4920
54	282	4850
55	283	4781
56	285	4715
57	286	4652
58	288	4597
59	289	4542
60	293	4515
61	295	4470
62	297	4419
63	298	4371
64	300	4321
65	301	4270
66	303	4221
67	304	4173
68	307	4146
69	308	4102
70	310	4057
71	311	4014
72	312	3974
73	314	3933
74	315	3893
75	317	3854
76	318	3816
77	319	3780
78	322	3765
79	324	3730
80	325	3695
81	327	3662
82	328	3624
83	329	3593
84	331	3563
85	332	3532
86	333	3502
87	335	3478
88	337	3458
89	339	3430
90	340	3404
91	342	3377
92	343	3350
93	344	3324
94	346	3299
95	347	3274
96	349	3249
97	352	3241
98	353	3221
99	355	3198
100	356	3175
101	358	3152
102	359	3130
103	360	3109
104	362	3088
105	363	3067
106	365	3052
107	367	3035
108	369	3016
109	370	2996
110	371	2977
111	373	2958
112	374	2940
113	376	2922
114	377	2905
115	378	2887
116	381	2877
117	382	2862
118	384	2846
119	386	2831
120	387	2818
121	389	2800
122	390	2784
123	391	2769
124	393	2753
125	396	2750
126	397	2734
127	399	2719
128	400	2705
129	401	2690
130	403	2675
131	404	2661
132	406	2647
133	407	2633
134	409	2625
135	411	2613
136	412	2601
137	414	2588
138	415	2575
139	417	2562
140	418	2552
141	419	2536
142	421	2524
143	422	2512
144	425	2511
145	427	2499
146	428	2488
147	430	2476
148	431	2464
149	432	2453
150	434	2441
151	435	2430
152	437	2419
153	440	2417
154	441	2406
155	442	2396
156	444	2385
157	445	2376
158	447	2366
159	448	2356
160	449	2343
161	451	2333
162	452	2323
163	455	2321
164	456	2312
165	458	2302
166	459	2292
167	460	2282
168	462	2273
169	463	2264
170	465	2255
171	466	2246
172	469	2242
173	470	2235
174	472	2227
175	474	2219
176	476	2213
177	477	2204
178	478	2195
179	480	2187
180	481	2179
181	484	2178
182	486	2169
183	487	2161
184	488	2153
185	490	2144
186	491	2136
187	492	2128
188	494	2123
189	496	2115
190	498	2111
191	500	2106
192	501	2098
193	503	2090
194	504	2083
195	506	2076
196	507	2069
197	508	2061
198	510	2054
199	511	2046
200	514	2045
201	516	2038
202	517	2032
203	518	2024
204	520	2018
205	521	2011
206	523	2004
207	524	1997
208	526	1990
209	528	1986
210	530	1982
211	531	1975
212	532	1969
213	534	1962
214	535	1955
215	537	1949
216	539	1945
217	540	1938
218	542	1932
219	544	1929
220	546	1926
221	548	1922
222	550	1916
223	552	1913
224	554	1909
225	560	1920
226	563	1918
227	566	1918
228	568	1914
229	570	1909
230	574	1913
231	576	1909
232	578	1903
233	579	1898
234	582	1897
235	584	1892
236	588	1894
237	590	1889
238	591	1884
239	593	1878
240	594	1872
241	596	1867
242	598	1865
243	600	1861
244	606	1869
245	609	1867
246	611	1863
247	613	1858
248	614	1854
249	616	1848
250	619	1849
251	621	1845
252	623	1839
253	624	1834
254	625	1828
255	627	1823
256	629	1819
257	631	1816
258	636	1821
259	638	1817
260	640	1813
261	642	1809
262	644	1805
263	646	1801
264	649	1802
265	651	1798
266	653	1794
267	655	1791
268	657	1787
269	659	1782
270	661	1779
271	663	1775
272	665	1773
273	667	1769
274	669	1765
275	671	1760
276	672	1755
277	674	1750
278	675	1746
279	679	1747
280	681	1743
281	683	1740
282	686	1738
283	687	1733
284	689	1728
285	690	1723
286	691	1718
287	696	1720
288	697	1715
289	698	1710
290	700	1706
291	701	1701
292	703	1696
293	704	1691
294	705	1687
295	707	1683
296	710	1681
297	711	1677
298	713	1672
299	714	1667
300	716	1662
301	717	1658
302	718	1653
303	720	1648
304	721	1644
305	724	1643
306	726	1638
307	727	1634
308	728	1629
309	730	1625
310	731	1620
311	732	1616
312	734	1611
313	735	1607
314	738	1606
315	740	1602
316	741	1598
317	743	1593
318	744	1589
319	745	1585
320	747	1581
321	748	1576
322	750	1572
323	752	1571
324	754	1567
325	756	1563
326	758	1561
327	761	1560
328	763	1557
329	765	1553
330	767	1551
331	769	1548
332	771	1544
333	772	1540
334	773	1536
335	775	1532
336	776	1528
337	778	1523
338	779	1519
339	780	1515
340	784	1515
341	785	1511
342	787	1507
343	788	1503
344	789	1499
345	791	1495
346	792	1491
347	794	1487
348	795	1483
349	798	1482
350	799	1478
351	801	1474
352	802	1470
353	803	1466
354	805	1462
355	806	1459
356	807	1455
357	809	1451
358	811	1448
359	813	1446
360	815	1442
361	816	1438
362	817	1435
363	819	1431
364	820	1427
365	822	1424
366	823	1420
367	824	1416
368	828	1416
369	829	1412
370	830	1408
371	832	1404
372	833	1401
373	835	1397
374	836	1394
375	837	1390
376	839	1387
377	841	1384
378	843	1381
379	844	1378
380	846	1375
381	847	1371
382	849	1368
383	851	1365
384	852	1361
385	854	1358
386	856	1356
387	858	1353
388	859	1350
389	862	1349
390	865	1347
391	866	1343
392	867	1340
393	869	1336
394	872	1336
395	874	1333
396	875	1330
397	877	1327
398	879	1324
399	880	1321
400	882	1317
401	883	1314
402	889	1317
403	891	1314
404	893	1312
405	894	1309
406	896	1306
407	897	1302
408	899	1299
409	902	1299
410	905	1297
411	906	1293
412	908	1290
413	909	1287
414	910	1283
415	912	1280
416	913	1277
417	916	1275
418	918	1273
419	920	1270
420	921	1267
421	923	1265
422	925	1262
423	927	1259
424	935	1266
425	937	1263
426	939	1260
427	940	1257
428	949	1263
429	951	1260
430	952	1257
431	954	1254
432	955	1251
433	957	1248
434	959	1245
435	962	1244
436	963	1241
437	965	1238
438	966	1235
439	968	1232
440	969	1229
441	971	1225
442	972	1222
443	977	1223
444	978	1220
445	980	1217
446	981	1214
447	982	1211
448	984	1207
449	985	1204
450	987	1201
451	989	1199
452	991	1197
453	993	1194
454	994	1191
455	995	1187
456	997	1184
457	998	1181
458	999	1178
459	1001	1175
460	1002	1172
461	1005	1171
462	1007	1168
463	1008	1165
464	1009	1161
465	1011	1158
466	1012	1155
467	1014	1152
468	1015	1149
469	1016	1146
470	1018	1144
471	1020	1141
472	1021	1138
473	1023	1135
474	1024	1132
475	1025	1129
476	1027	1126
477	1028	1123
478	1030	1120
479	1031	1117
480	1034	1116
481	1036	1113
482	1037	1110
483	1039	1108
484	1041	1105
485	1042	1102
486	1044	1100
487	1045	1097
488	1048	1096
489	1050	1093
490	1051	1090
491	1053	1087
492	1054	1084
493	1056	1081
494	1057	1079
495	1059	1076
496	1061	1074
497	1063	1072
498	1065	1069
499	1066	1066
500	1070	1066
501	1072	1064
502	1074	1062
503	1076	1059
504	1079	1058
505	1081	1055
506	1083	1053
507	1085	1051
508	1087	1048
509	1089	1047
510	1093	1046
511	1096	1044
512	1098	1042
513	1099	1039
514	1101	1036
515	1102	1034
516	1103	1031
517	1105	1028
518	1107	1026
519	1110	1024
520	1111	1021
521	1113	1019
522	1114	1016
523	1115	1013
524	1117	1010
525	1118	1007
526	1119	1005
527	1121	1002
528	1123	1000
529	1125	997
